company,role,skills,cgpa_required
TerraForm Inc.,Data Scientist,"Machine Learning, SQL, JIRA, TensorFlow, Python, Statistics, Agile",8.9
NextGen AI,Backend Developer,"SQL, REST APIs, NoSQL, Docker, Kubernetes, PostgreSQL, Scrum",8.8
NextGen AI,Frontend Developer,"CSS, JavaScript, Redux, Scrum, Webpack",8.4
InnovateTech,UI/UX Designer,"Scrum, Git, Wireframing, Adobe XD, UI/UX Design, Figma, Agile",8.5
SkyBridge,Data Analyst,"Statistics, Tableau, API Development, JIRA, SQL, Python",7.1
CyberGuard,UI/UX Designer,"Wireframing, Adobe XD, JIRA, User Research, Scrum, Agile, Git, UI/UX Design",9
Infinite Loop,DevOps Engineer,"CI/CD, Git, Azure, AWS",8.2
RedShift,Mobile App Developer,"Scrum, JIRA, Git, React Native, iOS SDK",8.4
BinaryBridge,Machine Learning Engineer,"Scikit-learn, Keras, JIRA, Pandas, Git, API Development, Agile, TensorFlow",7.6
FusionWorks,Backend Developer,"Java, GraphQL, Kubernetes, Docker, Go",8.1
Predictive Analytics,Data Scientist,"Data Visualization, TensorFlow, JIRA, Git, Statistics, Machine Learning, PyTorch, Python",7.1
AeroVerse,Machine Learning Engineer,"Scrum, Computer Vision, JIRA, Keras, NLP",8.2
NanoWare,Full-Stack Developer,"GraphQL, CSS, Scrum, API Development, MongoDB, REST APIs, Node.js, SQL",8.5
FutureProof,Data Scientist,"API Development, Deep Learning, Data Visualization, Git",8.2
Zenith Tech,UI/UX Designer,"UI/UX Design, Adobe XD, Agile, Figma, Wireframing",7.8
InnovateTech,Data Scientist,"Statistics, Scrum, JIRA, API Development, R, NumPy",7.2
Quantum Solutions,Full-Stack Developer,"GraphQL, JavaScript, Node.js, CSS, JIRA, REST APIs",8.9
HelioDynamics,Backend Developer,"Go, Kubernetes, JIRA, Agile",7.5
Vertex Dynamics,Data Analyst,"Scrum, Excel, Statistics, Tableau, Python",7.5
TerraForm Inc.,Backend Developer,"Docker, Scrum, API Development, Ruby",8.6
CodeCrafters,DevOps Engineer,"Jenkins, CI/CD, Scrum, Docker, Ansible, AWS, Terraform",8.7
Vertex Dynamics,DevOps Engineer,"JIRA, Agile, Terraform, AWS, Docker, Ansible, Google Cloud Platform",8.9
TerraForm Inc.,Mobile App Developer,"Flutter, Scrum, Swift, Agile, Git, React Native",7.3
Orion Enterprises,Machine Learning Engineer,"Git, Python, JIRA, NumPy, Keras, PyTorch",7.1
NetSphere,Data Scientist,"JIRA, PyTorch, Scrum, SQL",8.7
Alpha Systems,Mobile App Developer,"API Development, iOS SDK, Scrum, React Native, Swift, Android SDK, Git, Objective-C",8.6
AeroVerse,Backend Developer,"REST APIs, Docker, Agile, Scrum, Java",7.7
RedShift,Data Analyst,"Excel, Git, API Development, JIRA, Agile, Statistics",8.2
PixelPerfect,Data Scientist,"PyTorch, Pandas, API Development, Git, Machine Learning, Agile, SQL, Deep Learning",8.9
Infinite Loop,Backend Developer,"Java, JIRA, API Development, Go",8.2
CodeCrafters,Data Scientist,"Pandas, Python, PyTorch, Statistics",8.5
SkyBridge,Data Analyst,"Data Visualization, Excel, Agile, SQL",7.9
Synergy Systems,Backend Developer,"Git, Agile, C#, API Development, Scrum, REST APIs",7.5
Synapse Corp,Frontend Developer,"JIRA, Scrum, Vue.js, Agile",8.2
Stellar Solutions,Data Analyst,"JIRA, Excel, Statistics, Python, Power BI",8.7
BioSynth,Cloud Architect,"API Development, Git, Networking, Azure, Security, Agile, Kubernetes, Scrum",7.3
NeuralNet Systems,Data Scientist,"Pandas, Python, SQL, Machine Learning",7
